,dictionary,id,label
396,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN254101444,STS-076
397,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN254101443,STS-077
398,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN254101454,STS-078
399,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN254101453,STS-079
400,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN1674697458,STS-008
401,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN247101481,STS-080
402,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN247101482,STS-081
403,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN247101483,STS-082
404,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN247101484,STS-083
405,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN247101485,STS-084
406,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN247101486,STS-085
407,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN247101487,STS-086
408,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN247101488,STS-087
409,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN247101473,STS-088
410,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN247101474,STS-089
411,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN1674697457,STS-009
412,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN248101464,STS-090
413,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN248101463,STS-091
414,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN248101462,STS-092
415,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN248101461,STS-093
416,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN248101460,STS-094
417,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN248101459,STS-095
418,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN248101458,STS-096
419,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN248101457,STS-097
420,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN248101472,STS-098
